sample_id,message_id,session_id,required_fields,receiver,sla_cst,escalation_chain,wire_status,provider_request_id,provider_prompt_hash,provider_prompt_snapshot_ref,provider_sent_at_utc,provider_model_id,provider_audit_log_ref,receiver_signoff_name,receiver_signoff_at_cst,missing_evidence_type,note
S01,msg_c46bc6a4c001nkCj9853ZDTii3,ses_3b94395d0ffeC634iIBFEBTwWj,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S02,msg_c469dda90001QKDQjpou3Fpgk0,ses_3b9622573ffejMRJFrytlZ5nbO,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S03,msg_c4af69bdb001pDTy8nBnuEro6Y,ses_3b51283d0ffeWbeAOjPM3NUMPy,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S04,msg_c4af8e8d1001wANN6RfrFWoXsZ,ses_3b51283d0ffeWbeAOjPM3NUMPy,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S05,msg_c4afccdd70015wpQNZI5xYT5R7,ses_3b51283d0ffeWbeAOjPM3NUMPy,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S06,msg_c4b10fc95001F75HfPAhR5167o,ses_3b4f22623ffe5MZHLFRUupYZZl,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S07,msg_c4b12f36b001dBksp3t7aGx8U5,ses_3b4f22623ffe5MZHLFRUupYZZl,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S08,msg_c4b140720001aoHswvVc3oIswN,ses_3b4f22623ffe5MZHLFRUupYZZl,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S09,msg_c4b2210b0001GFBAvzP56zqJKN,ses_3b4f22623ffe5MZHLFRUupYZZl,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S10,msg_c4b2661fd001ROME876qiAbbzY,ses_3b4f22623ffe5MZHLFRUupYZZl,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
S11,msg_c4b2768ff001BvRzXy7K55qGGS,ses_3b4f22623ffe5MZHLFRUupYZZl,provider_request_id; provider_prompt_hash; provider_prompt_snapshot_ref(可脱敏); provider_sent_at_utc; provider_model_id; provider_audit_log_ref; receiver_signoff_name; receiver_signoff_at_cst,应用层负责人（实名）,2026-02-12 12:00 CST,Exec-AI-SECURE -> Exec-AI-PMO -> 架构总控（逾期即No-Go）,pending_provider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst,待应用层负责人回填; 轮次校验: pending/partial/complete 自动判定; 轮次校验(18:00): unknown/na/n/a/tbd 计缺失; 轮次校验(20:00): unknown/na/n/a/tbd 计缺失
