sample_id,message_id,session_id,input_abs_path,output_abs_path,replay_abs_path,source_workspace,collected_at,provider_owner,status,verify_exists
S03,msg_c4af69bdb001pDTy8nBnuEro6Y,ses_3b51283d0ffeWbeAOjPM3NUMPy,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S03/msg_c4af69bdb001pDTy8nBnuEro6Y/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S03/msg_c4af69bdb001pDTy8nBnuEro6Y/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S03/msg_c4af69bdb001pDTy8nBnuEro6Y/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S04,msg_c4af8e8d1001wANN6RfrFWoXsZ,ses_3b51283d0ffeWbeAOjPM3NUMPy,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S04/msg_c4af8e8d1001wANN6RfrFWoXsZ/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S04/msg_c4af8e8d1001wANN6RfrFWoXsZ/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S04/msg_c4af8e8d1001wANN6RfrFWoXsZ/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S05,msg_c4afccdd70015wpQNZI5xYT5R7,ses_3b51283d0ffeWbeAOjPM3NUMPy,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S05/msg_c4afccdd70015wpQNZI5xYT5R7/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S05/msg_c4afccdd70015wpQNZI5xYT5R7/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S05/msg_c4afccdd70015wpQNZI5xYT5R7/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S06,msg_c4b10fc95001F75HfPAhR5167o,ses_3b4f22623ffe5MZHLFRUupYZZl,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S06/msg_c4b10fc95001F75HfPAhR5167o/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S06/msg_c4b10fc95001F75HfPAhR5167o/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S06/msg_c4b10fc95001F75HfPAhR5167o/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S07,msg_c4b12f36b001dBksp3t7aGx8U5,ses_3b4f22623ffe5MZHLFRUupYZZl,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S07/msg_c4b12f36b001dBksp3t7aGx8U5/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S07/msg_c4b12f36b001dBksp3t7aGx8U5/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S07/msg_c4b12f36b001dBksp3t7aGx8U5/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S08,msg_c4b140720001aoHswvVc3oIswN,ses_3b4f22623ffe5MZHLFRUupYZZl,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S08/msg_c4b140720001aoHswvVc3oIswN/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S08/msg_c4b140720001aoHswvVc3oIswN/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S08/msg_c4b140720001aoHswvVc3oIswN/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S09,msg_c4b2210b0001GFBAvzP56zqJKN,ses_3b4f22623ffe5MZHLFRUupYZZl,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S09/msg_c4b2210b0001GFBAvzP56zqJKN/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S09/msg_c4b2210b0001GFBAvzP56zqJKN/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S09/msg_c4b2210b0001GFBAvzP56zqJKN/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S10,msg_c4b2661fd001ROME876qiAbbzY,ses_3b4f22623ffe5MZHLFRUupYZZl,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S10/msg_c4b2661fd001ROME876qiAbbzY/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S10/msg_c4b2661fd001ROME876qiAbbzY/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S10/msg_c4b2661fd001ROME876qiAbbzY/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S11,msg_c4b2768ff001BvRzXy7K55qGGS,ses_3b4f22623ffe5MZHLFRUupYZZl,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S11/msg_c4b2768ff001BvRzXy7K55qGGS/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S11/msg_c4b2768ff001BvRzXy7K55qGGS/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S11/msg_c4b2768ff001BvRzXy7K55qGGS/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
S12,msg_c4b27c85d001Bl3S5s0sM2fpAA,ses_3b4f22623ffe5MZHLFRUupYZZl,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S12/msg_c4b27c85d001Bl3S5s0sM2fpAA/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S12/msg_c4b27c85d001Bl3S5s0sM2fpAA/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S12/msg_c4b27c85d001Bl3S5s0sM2fpAA/replay.json,/Users/muqihang/chelingxi_workspace/test,2026-02-11T05:37:45Z,Exec-AI-SECURE,closed,yes
