sample_id,message_id,session_id,occurred_at_utc,prompt_hash,contract_present,claims_block_present,degrade_reason,layer_judgement,input_evidence_path,output_evidence_path,replay_evidence_path,status,analyst_note
S01,msg_c46bc6a4c001nkCj9853ZDTii3,ses_3b94395d0ffeC634iIBFEBTwWj,2026-02-10T08:54:24.962Z,31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S01/msg_c46bc6a4c001nkCj9853ZDTii3/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S01/msg_c46bc6a4c001nkCj9853ZDTii3/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S01/msg_c46bc6a4c001nkCj9853ZDTii3/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b94395d0ffeC634iIBFEBTwWj/events.jsonl:264; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b94395d0ffeC634iIBFEBTwWj/context/01KH3C3JBVKFGGYRYXPBTSMN6E/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b94395d0ffeC634iIBFEBTwWj/events.jsonl:267; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S01/msg_c46bc6a4c001nkCj9853ZDTii3/replay.json
S02,msg_c469dda90001QKDQjpou3Fpgk0,ses_3b9622573ffejMRJFrytlZ5nbO,2026-02-10T08:22:57.870Z,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S02/msg_c469dda90001QKDQjpou3Fpgk0/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S02/msg_c469dda90001QKDQjpou3Fpgk0/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S02/msg_c469dda90001QKDQjpou3Fpgk0/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b9622573ffejMRJFrytlZ5nbO/events.jsonl:969; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b9622573ffejMRJFrytlZ5nbO/context/01KH3A9FJSD6N24S7K6C4XGQZV/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b9622573ffejMRJFrytlZ5nbO/events.jsonl:972; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S02/msg_c469dda90001QKDQjpou3Fpgk0/replay.json
S03,msg_c4af69bdb001pDTy8nBnuEro6Y,ses_3b51283d0ffeWbeAOjPM3NUMPy,2026-02-11T04:31:42.250Z,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S03/msg_c4af69bdb001pDTy8nBnuEro6Y/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S03/msg_c4af69bdb001pDTy8nBnuEro6Y/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S03/msg_c4af69bdb001pDTy8nBnuEro6Y/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/events.jsonl:197; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/context/01KH5FFMAQ3Y7DK8FFF6K3C72F/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/events.jsonl:200; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S03/msg_c4af69bdb001pDTy8nBnuEro6Y/replay.json
S04,msg_c4af8e8d1001wANN6RfrFWoXsZ,ses_3b51283d0ffeWbeAOjPM3NUMPy,2026-02-11T04:32:55.313Z,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S04/msg_c4af8e8d1001wANN6RfrFWoXsZ/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S04/msg_c4af8e8d1001wANN6RfrFWoXsZ/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S04/msg_c4af8e8d1001wANN6RfrFWoXsZ/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/events.jsonl:255; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/context/01KH5FJ6Y1E0PAJFS9EVAQ7AZQ/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/events.jsonl:258; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S04/msg_c4af8e8d1001wANN6RfrFWoXsZ/replay.json
S05,msg_c4afccdd70015wpQNZI5xYT5R7,ses_3b51283d0ffeWbeAOjPM3NUMPy,2026-02-11T04:39:37.219Z,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S05/msg_c4afccdd70015wpQNZI5xYT5R7/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S05/msg_c4afccdd70015wpQNZI5xYT5R7/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S05/msg_c4afccdd70015wpQNZI5xYT5R7/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/events.jsonl:459; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/context/01KH5FXHD3NSNSY691FR25VAB9/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/events.jsonl:462; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S05/msg_c4afccdd70015wpQNZI5xYT5R7/replay.json
S06,msg_c4b10fc95001F75HfPAhR5167o,ses_3b4f22623ffe5MZHLFRUupYZZl,2026-02-11T05:00:32.558Z,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S06/msg_c4b10fc95001F75HfPAhR5167o/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S06/msg_c4b10fc95001F75HfPAhR5167o/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S06/msg_c4b10fc95001F75HfPAhR5167o/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:205; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/context/01KH5H4NCKX9KMPX35SYCS0MFF/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:208; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S06/msg_c4b10fc95001F75HfPAhR5167o/replay.json
S07,msg_c4b12f36b001dBksp3t7aGx8U5,ses_3b4f22623ffe5MZHLFRUupYZZl,2026-02-11T05:02:03.457Z,31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S07/msg_c4b12f36b001dBksp3t7aGx8U5/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S07/msg_c4b12f36b001dBksp3t7aGx8U5/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S07/msg_c4b12f36b001dBksp3t7aGx8U5/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:278; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/context/01KH5H7HZWTZH2WQ364P75WWSR/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:281; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S07/msg_c4b12f36b001dBksp3t7aGx8U5/replay.json
S08,msg_c4b140720001aoHswvVc3oIswN,ses_3b4f22623ffe5MZHLFRUupYZZl,2026-02-11T05:03:42.398Z,31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S08/msg_c4b140720001aoHswvVc3oIswN/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S08/msg_c4b140720001aoHswvVc3oIswN/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S08/msg_c4b140720001aoHswvVc3oIswN/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:347; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/context/01KH5HA960XFDQSK4TMF84DCFN/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:350; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S08/msg_c4b140720001aoHswvVc3oIswN/replay.json
S09,msg_c4b2210b0001GFBAvzP56zqJKN,ses_3b4f22623ffe5MZHLFRUupYZZl,2026-02-11T05:18:12.242Z,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S09/msg_c4b2210b0001GFBAvzP56zqJKN/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S09/msg_c4b2210b0001GFBAvzP56zqJKN/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S09/msg_c4b2210b0001GFBAvzP56zqJKN/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:493; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/context/01KH5J55N6PPNPT3M309NJRC8Z/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:496; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S09/msg_c4b2210b0001GFBAvzP56zqJKN/replay.json
S10,msg_c4b2661fd001ROME876qiAbbzY,ses_3b4f22623ffe5MZHLFRUupYZZl,2026-02-11T05:23:15.848Z,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S10/msg_c4b2661fd001ROME876qiAbbzY/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S10/msg_c4b2661fd001ROME876qiAbbzY/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S10/msg_c4b2661fd001ROME876qiAbbzY/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:650; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/context/01KH5JEGS1D7PG86A1275C316A/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:653; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S10/msg_c4b2661fd001ROME876qiAbbzY/replay.json
S11,msg_c4b2768ff001BvRzXy7K55qGGS,ses_3b4f22623ffe5MZHLFRUupYZZl,2026-02-11T05:23:42.065Z,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,yes,no,missing_claims_block,compliance,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S11/msg_c4b2768ff001BvRzXy7K55qGGS/input.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S11/msg_c4b2768ff001BvRzXy7K55qGGS/output.json,/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S11/msg_c4b2768ff001BvRzXy7K55qGGS/replay.json,closed,degrade_reason=missing_claims_block; prompt_hash=048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43 via context.pack_built@/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:722; contract_present=yes via developer_instructions_contains_secure_output_contract; prompt_snapshot=/Users/muqihang/chelingxi_workspace/test/.opencode/artifacts/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/context/01KH5JF9HHKZEQQRB0YW9PXS2A/blocks/block_developer_instructions.json; claims_block_present=no; layer=compliance; missing_evidence_type=provider_wire_prompt_snapshot_missing; degraded_event=/Users/muqihang/chelingxi_workspace/test/.opencode/evidence/local/default/ses_3b4f22623ffe5MZHLFRUupYZZl/events.jsonl:725; trace=/Users/muqihang/chelingxi_workspace/opencode-zh-build/opencode_src/docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-01/runtime-samples/S11/msg_c4b2768ff001BvRzXy7K55qGGS/replay.json
