sample_id,scenario,message_id,run_a_id,run_b_id,status,pointer_hit_rate_a,pointer_hit_rate_b,claim_verifiable_rate_a,claim_verifiable_rate_b,rerun_count_a,rerun_count_b,notes
S001,placeholder_scenario_01,pending,pending,pending,planned,,,,,,,
S002,placeholder_scenario_02,pending,pending,pending,planned,,,,,,,
S003,placeholder_scenario_03,pending,pending,pending,planned,,,,,,,
S004,placeholder_scenario_04,pending,pending,pending,planned,,,,,,,
S005,placeholder_scenario_05,pending,pending,pending,planned,,,,,,,
S006,placeholder_scenario_06,pending,pending,pending,planned,,,,,,,
S007,placeholder_scenario_07,pending,pending,pending,planned,,,,,,,
S008,placeholder_scenario_08,pending,pending,pending,planned,,,,,,,
S009,placeholder_scenario_09,pending,pending,pending,planned,,,,,,,
S010,placeholder_scenario_10,pending,pending,pending,planned,,,,,,,
S011,placeholder_scenario_11,pending,pending,pending,planned,,,,,,,
S012,placeholder_scenario_12,pending,pending,pending,planned,,,,,,,
S013,placeholder_scenario_13,pending,pending,pending,planned,,,,,,,
S014,placeholder_scenario_14,pending,pending,pending,planned,,,,,,,
S015,placeholder_scenario_15,pending,pending,pending,planned,,,,,,,
S016,placeholder_scenario_16,pending,pending,pending,planned,,,,,,,
S017,placeholder_scenario_17,pending,pending,pending,planned,,,,,,,
S018,placeholder_scenario_18,pending,pending,pending,planned,,,,,,,
S019,placeholder_scenario_19,pending,pending,pending,planned,,,,,,,
S020,placeholder_scenario_20,pending,pending,pending,planned,,,,,,,
