sample_id,scenario,complexity,write_intent,exec_intent,group,patch_planner_enabled,task_success,rerun_count,secure_output_pass,notes
S01,heavy_write_01,heavy,true,false,A,true,pending,pending,pending,placeholder
S02,heavy_write_02,heavy,true,true,B,false,pending,pending,pending,placeholder
S03,heavy_write_03,heavy,true,false,A,true,pending,pending,pending,placeholder
S04,heavy_write_04,heavy,true,true,B,false,pending,pending,pending,placeholder
S05,heavy_write_05,heavy,true,false,A,true,pending,pending,pending,placeholder
S06,heavy_write_06,heavy,true,true,B,false,pending,pending,pending,placeholder
S07,heavy_write_07,heavy,true,false,A,true,pending,pending,pending,placeholder
S08,heavy_write_08,heavy,true,true,B,false,pending,pending,pending,placeholder
S09,heavy_write_09,heavy,true,false,A,true,pending,pending,pending,placeholder
S10,heavy_write_10,heavy,true,true,B,false,pending,pending,pending,placeholder
S11,heavy_write_11,heavy,true,false,A,true,pending,pending,pending,placeholder
S12,heavy_write_12,heavy,true,true,B,false,pending,pending,pending,placeholder
S13,heavy_write_13,heavy,true,false,A,true,pending,pending,pending,placeholder
S14,heavy_write_14,heavy,true,true,B,false,pending,pending,pending,placeholder
S15,heavy_write_15,heavy,true,false,A,true,pending,pending,pending,placeholder
S16,heavy_write_16,heavy,true,true,B,false,pending,pending,pending,placeholder
S17,heavy_write_17,heavy,true,false,A,true,pending,pending,pending,placeholder
S18,heavy_write_18,heavy,true,true,B,false,pending,pending,pending,placeholder
S19,heavy_write_19,heavy,true,false,A,true,pending,pending,pending,placeholder
S20,heavy_write_20,heavy,true,true,B,false,pending,pending,pending,placeholder
S21,heavy_write_21,heavy,true,false,A,true,pending,pending,pending,placeholder
S22,heavy_write_22,heavy,true,true,B,false,pending,pending,pending,placeholder
S23,heavy_write_23,heavy,true,false,A,true,pending,pending,pending,placeholder
S24,heavy_write_24,heavy,true,true,B,false,pending,pending,pending,placeholder
S25,heavy_write_25,heavy,true,false,A,true,pending,pending,pending,placeholder
S26,heavy_write_26,heavy,true,true,B,false,pending,pending,pending,placeholder
S27,heavy_write_27,heavy,true,false,A,true,pending,pending,pending,placeholder
S28,heavy_write_28,heavy,true,true,B,false,pending,pending,pending,placeholder
S29,heavy_write_29,heavy,true,false,A,true,pending,pending,pending,placeholder
S30,heavy_write_30,heavy,true,true,B,false,pending,pending,pending,placeholder
