sample_id,session_id,retrieval_id,source,rank,origin_path,pointer_path,snippet_preview,label_l1,label_l2,label,conflict,reviewer
S001,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPGDRD5SE2RYY8SJAR4K,tree,1,config.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0001.txt,config.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S002,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPGDRD5SE2RYY8SJAR4K,tree,2,data/cases/case_discount_vip.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0002.txt,data/cases/case_discount_vip.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S003,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPGDRD5SE2RYY8SJAR4K,tree,3,data/cases/case_risk_sy.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0003.txt,data/cases/case_risk_sy.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S004,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPGDRD5SE2RYY8SJAR4K,tree,4,data/cases/v2/case_alpha_sy_sanction.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0004.txt,data/cases/v2/case_alpha_sy_sanction.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S005,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPGDRD5SE2RYY8SJAR4K,tree,5,data/cases/v2/case_beta_margin_and_export.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0005.txt,data/cases/v2/case_beta_margin_and_export.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S006,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPXX7NN0E5CGG69776ZP,tree,1,config.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0001.txt,config.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S007,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPXX7NN0E5CGG69776ZP,tree,2,data/cases/case_discount_vip.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0002.txt,data/cases/case_discount_vip.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S008,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPXX7NN0E5CGG69776ZP,tree,3,data/cases/case_risk_sy.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0003.txt,data/cases/case_risk_sy.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S009,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPXX7NN0E5CGG69776ZP,tree,4,data/cases/v2/case_alpha_sy_sanction.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0004.txt,data/cases/v2/case_alpha_sy_sanction.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
S010,3b4f22623ffe5MZHLFRUupYZZl,01KH5GVPXX7NN0E5CGG69776ZP,tree,5,data/cases/v2/case_beta_margin_and_export.json,.opencode/artifacts/local/default/ses_3b51283d0ffeWbeAOjPM3NUMPy/retrieval/01KH5GSN696XBDGKH0VEYT8S5S/snippets/0005.txt,data/cases/v2/case_beta_margin_and_export.json,path_noise,path_noise,path_noise,0,Exec-AI-RETRIEVAL
