sample_id,scenario,message_id,run_a_id,run_b_id,status,pointer_hit_rate_a,pointer_hit_rate_b,claim_verifiable_rate_a,claim_verifiable_rate_b,rerun_count_a,rerun_count_b,notes
H01,hydration_marker_switch,msg_H_01,off_H_01,on_H_01,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_01.log
H02,hydration_marker_switch,msg_H_02,off_H_02,on_H_02,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_02.log
H03,hydration_marker_switch,msg_H_03,off_H_03,on_H_03,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_03.log
H04,hydration_marker_switch,msg_H_04,off_H_04,on_H_04,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_04.log
H05,hydration_marker_switch,msg_H_05,off_H_05,on_H_05,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_05.log
H06,hydration_marker_switch,msg_H_06,off_H_06,on_H_06,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_06.log
H07,hydration_marker_switch,msg_H_07,off_H_07,on_H_07,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_07.log
H08,hydration_marker_switch,msg_H_08,off_H_08,on_H_08,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_08.log
H09,hydration_marker_switch,msg_H_09,off_H_09,on_H_09,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_09.log
H10,hydration_marker_switch,msg_H_10,off_H_10,on_H_10,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-hydration.test.ts;log=H_10.log
C01,cache_key_hydration_split,msg_C_01,off_C_01,on_C_01,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_01.log
C02,cache_key_hydration_split,msg_C_02,off_C_02,on_C_02,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_02.log
C03,cache_key_hydration_split,msg_C_03,off_C_03,on_C_03,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_03.log
C04,cache_key_hydration_split,msg_C_04,off_C_04,on_C_04,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_04.log
C05,cache_key_hydration_split,msg_C_05,off_C_05,on_C_05,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_05.log
C06,cache_key_hydration_split,msg_C_06,off_C_06,on_C_06,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_06.log
C07,cache_key_hydration_split,msg_C_07,off_C_07,on_C_07,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_07.log
C08,cache_key_hydration_split,msg_C_08,off_C_08,on_C_08,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_08.log
C09,cache_key_hydration_split,msg_C_09,off_C_09,on_C_09,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_09.log
C10,cache_key_hydration_split,msg_C_10,off_C_10,on_C_10,pass,0.000,1.000,1.000,1.000,0,0,test=test/session/context-os-cache-key.test.ts;log=C_10.log
