sample_id,scenario,complexity,write_intent,exec_intent,task_success_with,task_success_without,rerun_count_with,rerun_count_without,secure_output_pass_with,secure_output_pass_without,notes
S01,heavy_write_01,heavy,true,false,1,1,1,2,1,1,paired_replay_2026-02-12
S02,heavy_write_02,heavy,true,true,1,0,1,4,1,1,paired_replay_2026-02-12
S03,heavy_write_03,heavy,true,false,1,1,0,1,1,1,paired_replay_2026-02-12
S04,heavy_write_04,heavy,true,true,0,0,2,4,1,1,paired_replay_2026-02-12
S05,heavy_write_05,heavy,true,false,1,1,0,1,1,0,paired_replay_2026-02-12
S06,heavy_write_06,heavy,true,true,1,0,0,3,1,1,paired_replay_2026-02-12
S07,heavy_write_07,heavy,true,false,1,1,2,1,1,1,paired_replay_2026-02-12
S08,heavy_write_08,heavy,true,true,0,0,3,4,1,1,paired_replay_2026-02-12
S09,heavy_write_09,heavy,true,false,1,1,0,2,1,1,paired_replay_2026-02-12
S10,heavy_write_10,heavy,true,true,1,0,1,2,1,1,paired_replay_2026-02-12
S11,heavy_write_11,heavy,true,false,1,1,1,1,0,0,paired_replay_2026-02-12
S12,heavy_write_12,heavy,true,true,0,0,3,2,1,1,paired_replay_2026-02-12
S13,heavy_write_13,heavy,true,false,1,1,2,1,1,1,paired_replay_2026-02-12
S14,heavy_write_14,heavy,true,true,1,0,0,2,1,1,paired_replay_2026-02-12
S15,heavy_write_15,heavy,true,false,1,1,2,1,1,1,paired_replay_2026-02-12
S16,heavy_write_16,heavy,true,true,0,0,2,2,1,1,paired_replay_2026-02-12
S17,heavy_write_17,heavy,true,false,1,1,0,1,1,0,paired_replay_2026-02-12
S18,heavy_write_18,heavy,true,true,1,0,1,2,1,1,paired_replay_2026-02-12
S19,heavy_write_19,heavy,true,false,1,1,1,1,1,1,paired_replay_2026-02-12
S20,heavy_write_20,heavy,true,true,0,0,3,2,1,1,paired_replay_2026-02-12
S21,heavy_write_21,heavy,true,false,1,1,1,1,0,0,paired_replay_2026-02-12
S22,heavy_write_22,heavy,true,true,1,0,1,3,1,1,paired_replay_2026-02-12
S23,heavy_write_23,heavy,true,false,1,1,1,1,1,1,paired_replay_2026-02-12
S24,heavy_write_24,heavy,true,true,0,0,3,3,1,1,paired_replay_2026-02-12
S25,heavy_write_25,heavy,true,false,1,1,1,1,1,1,paired_replay_2026-02-12
S26,heavy_write_26,heavy,true,true,1,1,1,1,1,0,paired_replay_2026-02-12
S27,heavy_write_27,heavy,true,false,0,1,3,1,1,1,paired_replay_2026-02-12
S28,heavy_write_28,heavy,true,true,1,1,0,2,1,1,paired_replay_2026-02-12
S29,heavy_write_29,heavy,true,false,1,1,1,1,1,1,paired_replay_2026-02-12
S30,heavy_write_30,heavy,true,true,1,1,1,1,0,0,paired_replay_2026-02-12
