sample_id,message_id,mode,critic_status,task_completion,secure_output_pass,rerun_count
CV001,msg_c4b0dd9e3001jDSq4Xaso7Pme0,orch:chat,not_invoked,1,1,0
CV002,msg_c4b10fc95001F75HfPAhR5167o,secure:balanced,completed,1,0,1
CV003,msg_c4b12e8260014wF6x65UM0Xfu9,unknown,not_invoked,0,1,0
CV004,msg_c4b12f36b001dBksp3t7aGx8U5,secure:balanced,degraded,0,0,1
CV005,msg_c4b140720001aoHswvVc3oIswN,secure:balanced,degraded,0,0,1
CV006,msg_c4b210360001BskgYE5yHLZHMW,unknown,not_invoked,1,1,0
CV007,msg_c4b220a0c001qttG0avEry742S,unknown,not_invoked,0,1,0
CV008,msg_c4b2210b0001GFBAvzP56zqJKN,secure:balanced,completed,1,0,1
CV009,msg_c4b2654bb001TEM2L3YJ5m764o,unknown,not_invoked,0,1,0
CV010,msg_c4b2661fd001ROME876qiAbbzY,secure:balanced,completed,1,0,1
CV011,msg_c4b2768ff001BvRzXy7K55qGGS,secure:balanced,completed,1,0,1
CV012,msg_c4b27c85d001Bl3S5s0sM2fpAA,secure:balanced,completed,1,0,1
CV013,msg_c4b2841e1001o35rbn8yRfGmo6,secure:balanced,completed,1,0,1
CV014,msg_c4b287b20001rwu1r63uDcyXvI,secure:balanced,completed,0,0,1
CV015,msg_c4b28d1da0019edexrgT1FRQpf,orch:assist,completed,0,1,1
CV016,msg_c4b2929c9001G8XXgvRqnR6kxx,secure:balanced,completed,0,0,1
CV017,msg_c4b2976b8001VOqXtPBaS222FI,secure:balanced,completed,0,0,1
CV018,msg_c4b2aa656001Cor2tUPAYb08wB,secure:balanced,completed,1,0,1
CV019,msg_c4b2aebce001kpqNSdafGmM3mj,secure:balanced,completed,0,0,1
CV020,msg_c4b2b4028001yHg89O6GVXYuhe,secure:balanced,completed,0,0,1
CV021,msg_c4b2edcdb0015Yn6v7Z6HfbOwz,secure:balanced,completed,1,0,1
CV022,msg_c4aed8143002ESo3deFsin6iVI,unknown,not_invoked,0,1,0
CV023,msg_c4aed7c420011Ztpt1d7aPrd83,orch:fork,not_invoked,1,1,0
CV024,msg_c4af69bdb001pDTy8nBnuEro6Y,secure:balanced,completed,1,0,1
CV025,msg_c4af8e8d1001wANN6RfrFWoXsZ,secure:balanced,completed,1,0,1
CV026,msg_c4afccdd70015wpQNZI5xYT5R7,secure:balanced,completed,1,0,1
CV027,msg_c4b0ccc26001Gd53uiiTm2F1xf,orch:chat,not_invoked,1,1,0
CV028,msg_c46bc6a4c001nkCj9853ZDTii3,secure:balanced,degraded,0,0,11
CV029,msg_c469dda90001QKDQjpou3Fpgk0,secure:balanced,degraded,0,0,31
CV030,msg_c4693fbb8001ti1NeC0PHjMfjK,unknown,not_invoked,0,1,0
CV031,msg_c46921991001QSvOJzrSIIl10j,unknown,not_invoked,0,1,0
CV032,msg_c469060f0001o4Zxeeo6xuKavb,unknown,not_invoked,0,1,0
CV033,msg_c468eb230001nwycme3jIG6hy2,unknown,not_invoked,0,1,0
CV034,msg_c468eab4b001r6PuIIc11LJ3JC,orch:fork,not_invoked,1,1,0
