sample_id,message_id,session_id,wire_status,provider,model,app_prompt_hash,provider_prompt_hash,prompt_hash_match,provider_prompt_snapshot_ref,ack_status,unknown_flag,pending_flag,hash_reconcile_status,missing_evidence_type
S01,msg_c46bc6a4c001nkCj9853ZDTii3,ses_3b94395d0ffeC634iIBFEBTwWj,pending_provider,unknown,unknown,31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S02,msg_c469dda90001QKDQjpou3Fpgk0,ses_3b9622573ffejMRJFrytlZ5nbO,pending_provider,unknown,unknown,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S03,msg_c4af69bdb001pDTy8nBnuEro6Y,ses_3b51283d0ffeWbeAOjPM3NUMPy,pending_provider,unknown,unknown,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S04,msg_c4af8e8d1001wANN6RfrFWoXsZ,ses_3b51283d0ffeWbeAOjPM3NUMPy,pending_provider,unknown,unknown,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S05,msg_c4afccdd70015wpQNZI5xYT5R7,ses_3b51283d0ffeWbeAOjPM3NUMPy,pending_provider,unknown,unknown,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S06,msg_c4b10fc95001F75HfPAhR5167o,ses_3b4f22623ffe5MZHLFRUupYZZl,pending_provider,unknown,unknown,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S07,msg_c4b12f36b001dBksp3t7aGx8U5,ses_3b4f22623ffe5MZHLFRUupYZZl,pending_provider,unknown,unknown,31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S08,msg_c4b140720001aoHswvVc3oIswN,ses_3b4f22623ffe5MZHLFRUupYZZl,pending_provider,unknown,unknown,31cdbe970e261088eddeac48e03d7ba34c7d2ae5548e204f0f8900fc46fbf052,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S09,msg_c4b2210b0001GFBAvzP56zqJKN,ses_3b4f22623ffe5MZHLFRUupYZZl,pending_provider,unknown,unknown,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S10,msg_c4b2661fd001ROME876qiAbbzY,ses_3b4f22623ffe5MZHLFRUupYZZl,pending_provider,unknown,unknown,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
S11,msg_c4b2768ff001BvRzXy7K55qGGS,ses_3b4f22623ffe5MZHLFRUupYZZl,pending_provider,unknown,unknown,048aba22be5e0704578d51ac494faf65dba80417352d7198b54650e608a56e43,unknown,blocked_missing_provider_prompt_hash,unknown,pending_t3_checked,yes,yes,fail,provider_wire_not_submitted;missing_fields:provider_request_id|provider_prompt_hash|provider_prompt_snapshot_ref|provider_sent_at_utc|provider_model_id|provider_audit_log_ref|receiver_signoff_name|receiver_signoff_at_cst
